City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
151,Axim,GH,80.01,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
156,Jacksonville,US,83.25,scattered clouds,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
157,Caravelas,BR,78.39,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
159,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
162,Palu,ID,87.73,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
169,San Carlos,VE,85.98,broken clouds,9.6612,-68.5827,Hotel Paternopoli
170,Cabo San Lucas,MX,81.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
177,Mareeba,AU,81.48,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
181,Saint George,US,78.26,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
199,Mount Pleasant,US,78.01,clear sky,32.7941,-79.8626,Best Western Patriots Point
200,Salina Cruz,MX,84.9,overcast clouds,16.1667,-95.2,Amerik HOTEL
205,Kavieng,PG,84.9,moderate rain,-2.5744,150.7967,Nusa Island Retreat
207,Sao Jose Da Coroa Grande,BR,78.03,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
216,Kupang,ID,83.41,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
218,Abiramam,IN,84.85,overcast clouds,9.4667,78.45,கோனார் திருமண மண்டபம்
219,Eydhafushi,MV,84.67,overcast clouds,5.1033,73.0708,Soneva Fushi
224,Tarakan,ID,81.9,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
225,Sibolga,ID,79.34,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
227,Makasar,ID,82.45,few clouds,-5.14,119.4221,Aryaduta Makassar
228,Cairns,AU,86.11,clear sky,-16.9167,145.7667,Mantra Trilogy Cairns
232,Teknaf,BD,80.44,clear sky,20.8624,92.3058,Forestry Guesthouse
233,Buluang,PH,88.16,few clouds,13.3068,123.3425,Sacueza Beach Resort
234,Mackay,AU,82.69,broken clouds,-21.15,149.2,International Lodge Motel
241,Arlit,NE,87.31,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
243,Funadhoo,MV,84.74,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
244,Lompoc,US,84.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
