City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
187,Saint-Doulchard,FR,2022-04-29 00:17:26,47.1037,2.352,52.18,89,87,4.54
188,Lazaro Cardenas,MX,2022-04-29 00:17:27,17.9583,-102.2,83.35,56,1,11.03
189,Beloha,MG,2022-04-29 00:17:27,-25.1667,45.05,64.45,67,37,10.27
190,Katsuura,JP,2022-04-29 00:17:28,35.1333,140.3,62.31,85,100,14.61
191,Komsomolskiy,UZ,2022-04-29 00:17:29,40.4272,71.7189,63.32,67,98,2.3
192,Bandrele,YT,2022-04-29 00:17:29,-12.9067,45.1914,82.15,74,20,18.41
193,Port Elizabeth,ZA,2022-04-29 00:17:30,-33.918,25.5701,59.31,75,0,3.44
194,Lesnoye,RU,2022-04-29 00:17:31,58.2841,35.5158,28.45,72,31,4.72
195,Itaituba,BR,2022-04-29 00:17:31,-4.2761,-55.9836,75.83,94,97,1.99
196,Bambanglipuro,ID,2022-04-29 00:17:31,-7.95,110.2833,79.14,82,80,3.38
197,Arlit,NE,2022-04-29 00:17:32,18.7369,7.3853,78.67,8,11,7.02
198,Nanortalik,GL,2022-04-29 00:17:32,60.1432,-45.2371,38.66,81,97,4.97
199,Port Blair,IN,2022-04-29 00:17:33,11.6667,92.75,80.64,94,75,1.14
200,Iqaluit,CA,2022-04-29 00:17:33,63.7506,-68.5145,10.13,67,75,12.66
201,Semenivka,UA,2022-04-29 00:17:34,52.1783,32.5818,37.72,82,35,5.08
202,Inhambane,MZ,2022-04-29 00:17:34,-23.865,35.3833,68.41,80,31,4.88
203,Hounde,BF,2022-04-29 00:17:35,11.5,-3.5167,84.96,46,85,5.32
204,Rocha,UY,2022-04-29 00:17:36,-34.4833,-54.3333,47.48,62,0,7.07
205,Moose Factory,CA,2022-04-29 00:17:36,51.2585,-80.6094,39.2,45,0,5.75
206,Plouzane,FR,2022-04-29 00:17:37,48.3833,-4.6167,50.05,97,13,6.91
