City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
258,Leningradskiy,RU,69.3833,178.4167,22.39,87,77,11.43,broken clouds
259,Chuy,UY,-33.6971,-53.4616,56.25,82,0,4.03,clear sky
260,Greeneville,US,36.1632,-82.831,73.54,46,20,0.0,few clouds
261,Provideniya,RU,64.3833,-173.3,32.36,74,20,7.0,few clouds
262,Whitehaven,GB,54.549,-3.5841,47.66,94,96,5.08,overcast clouds
263,Coihaique,CL,-45.5752,-72.0662,46.35,71,40,4.61,scattered clouds
264,Bajil,YE,15.0584,43.2851,89.22,46,0,1.66,clear sky
265,Pomabamba,PE,-8.8333,-77.4667,50.63,88,35,3.0,light rain
266,San Luis,AR,-33.295,-66.3356,55.58,40,100,7.38,overcast clouds
267,Muscat,OM,23.6139,58.5922,82.42,60,0,7.49,clear sky
268,Mogadishu,SO,2.0371,45.3438,80.15,80,85,12.44,light rain
269,Sitka,US,57.0531,-135.33,46.29,71,100,5.75,light rain
270,Yarensk,RU,62.1675,49.0916,26.15,87,20,4.76,few clouds
271,Doha,QA,25.2867,51.5333,87.78,25,0,4.61,clear sky
272,Champerico,GT,14.3,-91.9167,86.54,71,100,6.64,overcast clouds
273,Huilong,CN,31.8111,121.655,66.92,75,0,13.65,clear sky
274,Show Low,US,34.2542,-110.0298,64.62,17,0,9.22,clear sky
275,San Patricio,US,28.017,-97.5169,82.54,81,100,17.92,overcast clouds
276,Fare,PF,-16.7,-151.0167,81.91,75,24,11.86,few clouds
277,Lakes Entrance,AU,-37.8811,147.981,56.16,87,100,7.74,overcast clouds
278,Marsa Matruh,EG,31.3525,27.2453,62.8,77,40,11.5,scattered clouds
279,Bireun,ID,5.203,96.7009,79.54,83,91,2.73,overcast clouds
280,Alugan,PH,12.2188,125.4808,82.15,81,89,9.91,overcast clouds
281,Haines Junction,CA,60.7522,-137.5108,51.75,24,100,5.75,overcast clouds
282,Bathsheba,BB,13.2167,-59.5167,79.41,83,75,13.8,broken clouds
283,Russell,US,32.3502,-85.1999,82.0,82,0,3.44,clear sky
284,Paamiut,GL,61.994,-49.6678,25.54,66,100,7.96,overcast clouds
285,Botro,CI,7.8525,-5.3106,73.89,94,92,4.16,overcast clouds
286,Husavik,IS,66.0449,-17.3389,31.55,91,100,2.8,overcast clouds
287,Inirida,CO,3.8653,-67.9239,74.46,97,90,2.26,heavy intensity rain
288,Post Falls,US,47.718,-116.9516,70.88,44,40,3.44,scattered clouds
289,Amot,NO,59.5714,7.9877,39.42,82,87,2.08,overcast clouds
290,Dingle,PH,10.9995,122.6711,85.82,67,100,12.19,overcast clouds
291,Sao Joao De Pirabas,BR,-0.7747,-47.1772,76.15,92,100,4.72,overcast clouds
292,Nakhon Thai,TH,17.1006,100.8374,77.52,64,95,2.17,overcast clouds
293,Marawi,PH,7.9986,124.2928,79.07,71,100,1.77,overcast clouds
294,Ferme-Neuve,CA,46.7001,-75.4493,44.13,60,100,3.85,overcast clouds
295,Vaitape,PF,-16.5167,-151.75,81.48,76,28,11.72,scattered clouds
296,Tambopata,PE,-12.7333,-69.1833,63.79,77,100,2.04,overcast clouds
297,Kungurtug,RU,50.5994,97.5228,34.99,37,3,3.67,clear sky
298,Ugoofaaru,MV,5.6667,73.0,85.03,71,100,15.12,overcast clouds
299,Ribeira Grande,PT,38.5167,-28.7,62.8,86,100,17.05,overcast clouds
